Time	Type	Amount	Symbol
10/7/2025 2:51	Realized PNL	1.15240695 USDT	HYPEUSDT
10/7/2025 2:51	Commission	-0.00583216 USDT	HYPEUSDT
10/7/2025 2:26	Realized PNL	0.87991549 USDT	ASTERUSDT
10/7/2025 2:26	Commission	-0.00445823 USDT	ASTERUSDT
10/7/2025 2:26	Realized PNL	0.98224050 USDT	ASTERUSDT
10/7/2025 2:26	Commission	-0.00497667 USDT	ASTERUSDT
10/7/2025 1:26	Realized PNL	0.25211764 USDT	BNBUSDT
10/7/2025 1:26	Commission	-0.00123449 USDT	BNBUSDT
10/7/2025 1:26	Realized PNL	1.00847058 USDT	BNBUSDT
10/7/2025 1:26	Commission	-0.00493799 USDT	BNBUSDT
10/7/2025 1:26	Realized PNL	0.88241176 USDT	BNBUSDT
10/7/2025 1:26	Commission	-0.00432075 USDT	BNBUSDT
10/7/2025 1:00	Funding fee	-0.01607313 USDT	HYPEUSDT
10/7/2025 1:00	Funding fee	-0.08671442 USDT	ASTERUSDT
10/7/2025 1:00	Funding fee	-0.00254261 USDT	ENAUSDT
10/7/2025 1:00	Funding fee	-0.00234700 USDT	XRPUSDT
10/7/2025 1:00	Funding fee	-0.00716029 USDT	SOLUSDT
10/7/2025 1:00	Funding fee	-0.02184649 USDT	DOGEUSDT
10/7/2025 1:00	Funding fee	0.10432310 USDT	ETHUSDT
10/7/2025 0:00	Commission	-0.03051302 USDT	DOGEUSDT
10/7/2025 0:00	Commission	-0.03051536 USDT	DOGEUSDT
10/6/2025 23:44	Commission	-0.02984400 USDT	BNBUSDT
10/6/2025 23:44	Commission	-0.02984400 USDT	BNBUSDT
10/6/2025 23:44	Commission	-0.01812531 USDT	HYPEUSDT
10/6/2025 23:44	Commission	-0.01812927 USDT	HYPEUSDT
10/6/2025 23:41	Commission	-0.16062736 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.00933880 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.00933880 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.00373552 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.00373552 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.00560328 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.00373552 USDT	ETHUSDT
10/6/2025 23:41	Commission	-0.01703610 USDT	DOGEUSDT
10/6/2025 23:40	Commission	-0.03491454 USDT	ASTERUSDT
10/6/2025 23:40	Commission	-0.00938204 USDT	XRPUSDT
10/6/2025 23:40	Commission	-0.00942084 USDT	DOGEUSDT
10/6/2025 23:39	Commission	-0.01942517 USDT	ASTERUSDT
10/6/2025 23:38	Commission	-0.10844840 USDT	ETHUSDT
10/6/2025 23:38	Commission	-0.01845600 USDT	SOLUSDT
10/6/2025 23:38	Commission	-0.01018412 USDT	ENAUSDT
10/6/2025 23:37	Commission	-0.01014904 USDT	SOLUSDT
10/6/2025 23:24	Commission	-0.01012506 USDT	HYPEUSDT
10/6/2025 23:21	Commission	-0.06003456 USDT	ETHUSDT
10/6/2025 23:21	Commission	-0.01502640 USDT	BNBUSDT
10/6/2025 23:21	Commission	-0.01086222 USDT	ASTERUSDT
10/6/2025 23:06	Commission	-0.00612428 USDT	ASTERUSDT
10/6/2025 23:06	Commission	-0.00340820 USDT	ASTERUSDT
10/6/2025 22:58	Realized PNL	1.64826000 USDT	HYPEUSDT
10/6/2025 22:58	Commission	-0.00834211 USDT	HYPEUSDT
