Time,Type,Amount,Symbol
2025-10-07 05:55:07,Commission,-0.01104501 USDT,DOGEUSDT
2025-10-07 05:45:37,Realized PNL,0.24940000 USDT,ENAUSDT
2025-10-07 05:45:37,Commission,-0.00128548 USDT,ENAUSDT
2025-10-07 02:52:49,Realized PNL,0.00457304 USDT,HYPEUSDT
2025-10-07 02:52:49,Commission,-0.00002314 USDT,HYPEUSDT
2025-10-07 02:51:31,Realized PNL,1.15240695 USDT,HYPEUSDT
2025-10-07 02:51:31,Commission,-0.00583216 USDT,HYPEUSDT
2025-10-07 02:26:47,Realized PNL,0.87991549 USDT,ASTERUSDT
2025-10-07 02:26:47,Commission,-0.00445823 USDT,ASTERUSDT
2025-10-07 02:26:47,Realized PNL,0.98224050 USDT,ASTERUSDT
2025-10-07 02:26:47,Commission,-0.00497667 USDT,ASTERUSDT
2025-10-07 01:26:09,Realized PNL,0.25211764 USDT,BNBUSDT
2025-10-07 01:26:09,Commission,-0.00123449 USDT,BNBUSDT
2025-10-07 01:26:09,Realized PNL,1.00847058 USDT,BNBUSDT
2025-10-07 01:26:09,Commission,-0.00493799 USDT,BNBUSDT
2025-10-07 01:26:09,Realized PNL,0.88241176 USDT,BNBUSDT
2025-10-07 01:26:09,Commission,-0.00432075 USDT,BNBUSDT
2025-10-07 01:00:00,Funding fee,-0.01607313 USDT,HYPEUSDT
2025-10-07 01:00:00,Funding fee,-0.08671442 USDT,ASTERUSDT
2025-10-07 01:00:00,Funding fee,-0.00254261 USDT,ENAUSDT
2025-10-07 01:00:00,Funding fee,-0.00234700 USDT,XRPUSDT
2025-10-07 01:00:00,Funding fee,-0.00716029 USDT,SOLUSDT
2025-10-07 01:00:00,Funding fee,-0.02184649 USDT,DOGEUSDT
2025-10-07 01:00:00,Funding fee,0.10432310 USDT,ETHUSDT
2025-10-07 00:00:18,Commission,-0.03051302 USDT,DOGEUSDT
2025-10-07 00:00:16,Commission,-0.03051536 USDT,DOGEUSDT
2025-10-06 23:44:44,Commission,-0.02984400 USDT,BNBUSDT
2025-10-06 23:44:43,Commission,-0.02984400 USDT,BNBUSDT
2025-10-06 23:44:02,Commission,-0.01812531 USDT,HYPEUSDT
2025-10-06 23:44:01,Commission,-0.01812927 USDT,HYPEUSDT
2025-10-06 23:41:04,Commission,-0.16062736 USDT,ETHUSDT
2025-10-06 23:41:04,Commission,-0.00933880 USDT,ETHUSDT
2025-10-06 23:41:04,Commission,-0.00933880 USDT,ETHUSDT
2025-10-06 23:41:04,Commission,-0.00373552 USDT,ETHUSDT
2025-10-06 23:41:04,Commission,-0.00373552 USDT,ETHUSDT
2025-10-06 23:41:04,Commission,-0.00560328 USDT,ETHUSDT
2025-10-06 23:41:04,Commission,-0.00373552 USDT,ETHUSDT
2025-10-06 23:41:02,Commission,-0.01703610 USDT,DOGEUSDT
2025-10-06 23:40:58,Commission,-0.03491454 USDT,ASTERUSDT
2025-10-06 23:40:25,Commission,-0.00938204 USDT,XRPUSDT
2025-10-06 23:40:18,Commission,-0.00942084 USDT,DOGEUSDT
2025-10-06 23:39:27,Commission,-0.01942517 USDT,ASTERUSDT
2025-10-06 23:38:41,Commission,-0.10844840 USDT,ETHUSDT
2025-10-06 23:38:32,Commission,-0.01845600 USDT,SOLUSDT
2025-10-06 23:38:06,Commission,-0.01018412 USDT,ENAUSDT
2025-10-06 23:37:49,Commission,-0.01014904 USDT,SOLUSDT
2025-10-06 23:24:22,Commission,-0.01012506 USDT,HYPEUSDT
2025-10-06 23:21:36,Commission,-0.06003456 USDT,ETHUSDT
2025-10-06 23:21:33,Commission,-0.01502640 USDT,BNBUSDT
2025-10-06 23:21:24,Commission,-0.01086222 USDT,ASTERUSDT
2025-10-06 23:06:48,Commission,-0.00612428 USDT,ASTERUSDT
2025-10-06 23:06:05,Commission,-0.00340820 USDT,ASTERUSDT
2025-10-06 22:58:23,Realized PNL,1.64826000 USDT,HYPEUSDT
2025-10-06 22:58:23,Commission,-0.00834211 USDT,HYPEUSDT
2025-10-06 22:40:07,Commission,-0.01008880 USDT,BNBUSDT
2025-10-06 22:39:56,Commission,-0.03402071 USDT,ETHUSDT
2025-10-06 21:46:10,Commission,-0.01882839 USDT,ETHUSDT
2025-10-06 21:34:22,Commission,-0.03539404 USDT,HYPEUSDT
2025-10-06 21:33:37,Commission,-0.00443616 USDT,HYPEUSDT
2025-10-06 21:33:37,Commission,-0.01330848 USDT,HYPEUSDT
2025-10-06 21:33:37,Commission,-0.00203266 USDT,HYPEUSDT
2025-10-06 21:29:21,Commission,-0.01090626 USDT,HYPEUSDT
2025-10-06 21:28:43,Realized PNL,-0.58750000 USDT,ETHUSDT
2025-10-06 21:28:43,Commission,-0.00938000 USDT,ETHUSDT
2025-10-06 21:28:40,Realized PNL,-20.88500000 USDT,BNBUSDT
2025-10-06 21:28:40,Commission,-0.60289680 USDT,BNBUSDT
2025-10-06 17:00:00,Funding fee,0.08914724 USDT,BNBUSDT
2025-10-06 17:00:00,Funding fee,0.00234221 USDT,ETHUSDT
2025-10-06 16:51:07,Realized PNL,-0.22176000 USDT,HYPEUSDT
2025-10-06 16:51:07,Commission,-0.00681912 USDT,HYPEUSDT
2025-10-06 16:51:07,Realized PNL,-1.04104000 USDT,HYPEUSDT
2025-10-06 16:51:07,Commission,-0.03201198 USDT,HYPEUSDT
2025-10-06 16:51:07,Realized PNL,-1.11496000 USDT,HYPEUSDT
2025-10-06 16:51:07,Commission,-0.03428502 USDT,HYPEUSDT
2025-10-06 16:51:07,Realized PNL,-8.86215000 USDT,HYPEUSDT
2025-10-06 16:51:07,Commission,-0.27295998 USDT,HYPEUSDT
2025-10-06 16:51:07,Realized PNL,-3.88642000 USDT,HYPEUSDT
2025-10-06 16:51:07,Commission,-0.12009988 USDT,HYPEUSDT
2025-10-06 16:51:07,Realized PNL,-0.04904000 USDT,HYPEUSDT
2025-10-06 16:51:07,Commission,-0.00151545 USDT,HYPEUSDT
2025-10-06 16:13:40,Commission,-0.15789419 USDT,HYPEUSDT
2025-10-06 16:13:38,Commission,-0.01974171 USDT,HYPEUSDT
2025-10-06 16:13:38,Commission,-0.01974171 USDT,HYPEUSDT
2025-10-06 16:10:37,Realized PNL,2.17929760 USDT,HYPEUSDT
2025-10-06 16:10:37,Commission,-0.01077061 USDT,HYPEUSDT
2025-10-06 16:10:37,Realized PNL,1.81527239 USDT,HYPEUSDT
2025-10-06 16:10:37,Commission,-0.00897151 USDT,HYPEUSDT
2025-10-06 13:00:00,Funding fee,0.17281904 USDT,HYPEUSDT
2025-10-06 09:13:46,Commission,-0.08262525 USDT,HYPEUSDT
2025-10-06 09:00:00,Funding fee,0.06135839 USDT,HYPEUSDT
2025-10-06 09:00:00,Funding fee,0.14913078 USDT,BNBUSDT
2025-10-06 09:00:00,Funding fee,0.00233624 USDT,ETHUSDT
2025-10-06 07:32:18,Realized PNL,0.54677999 USDT,FARTCOINUSDT
2025-10-06 07:32:18,Commission,-0.00281093 USDT,FARTCOINUSDT
2025-10-06 05:00:00,Funding fee,0.01916517 USDT,HYPEUSDT
2025-10-06 05:00:00,Funding fee,-0.00274288 USDT,FARTCOINUSDT
2025-10-06 01:00:00,Funding fee,0.01924497 USDT,HYPEUSDT
2025-10-06 01:00:00,Funding fee,-0.00273717 USDT,FARTCOINUSDT
2025-10-06 01:00:00,Funding fee,0.40091682 USDT,BNBUSDT
2025-10-06 01:00:00,Funding fee,0.00226608 USDT,ETHUSDT
2025-10-05 23:53:41,Commission,-0.15277500 USDT,BNBUSDT
2025-10-05 23:53:41,Commission,-0.05516875 USDT,BNBUSDT
2025-10-05 23:53:41,Commission,-0.05516875 USDT,BNBUSDT
2025-10-05 23:52:20,Commission,-0.01239233 USDT,FARTCOINUSDT
2025-10-05 23:36:52,Commission,-0.08991990 USDT,BNBUSDT
2025-10-05 23:36:52,Commission,-0.00856520 USDT,BNBUSDT
2025-10-05 23:36:52,Commission,-0.04710860 USDT,BNBUSDT
2025-10-05 23:36:39,Commission,-0.00800187 USDT,ETHUSDT
2025-10-05 23:35:51,Realized PNL,4.35189999 USDT,ENAUSDT
2025-10-05 23:35:51,Commission,-0.04497779 USDT,ENAUSDT
2025-10-05 23:33:39,Realized PNL,3.52359999 USDT,ETHUSDT
2025-10-05 23:33:39,Commission,-0.03560934 USDT,ETHUSDT
2025-10-05 23:30:30,Realized PNL,0.00363866 USDT,SUIUSDT
2025-10-05 23:30:30,Commission,-0.00012582 USDT,SUIUSDT
2025-10-05 23:30:02,Realized PNL,2.65085604 USDT,SUIUSDT
2025-10-05 23:30:02,Commission,-0.02684792 USDT,SUIUSDT
2025-10-05 23:29:21,Realized PNL,2.51955528 USDT,SUIUSDT
2025-10-05 23:29:21,Commission,-0.02551811 USDT,SUIUSDT
2025-10-05 23:01:17,Realized PNL,0.21090000 USDT,AVNTUSDT
2025-10-05 23:01:17,Commission,-0.00214757 USDT,AVNTUSDT
2025-10-05 22:12:26,Commission,-0.07791588 USDT,ENAUSDT
2025-10-05 22:10:05,Commission,-0.04360545 USDT,ENAUSDT
2025-10-05 22:03:50,Commission,-0.01346733 USDT,ENAUSDT
2025-10-05 22:03:50,Commission,-0.00060311 USDT,ENAUSDT
2025-10-05 22:03:50,Commission,-0.00824264 USDT,ENAUSDT
2025-10-05 22:03:50,Commission,-0.00462231 USDT,ENAUSDT
2025-10-05 21:55:23,Commission,-0.00744236 USDT,ENAUSDT
2025-10-05 21:47:07,Commission,-0.00744268 USDT,AVNTUSDT
2025-10-05 21:00:00,Funding fee,0.05840177 USDT,HYPEUSDT
2025-10-05 21:00:00,Funding fee,-0.00278889 USDT,FARTCOINUSDT
2025-10-05 19:48:31,Realized PNL,0.17680000 USDT,AVNTUSDT
2025-10-05 19:48:31,Commission,-0.00181344 USDT,AVNTUSDT
2025-10-05 19:30:20,Commission,-0.00314272 USDT,AVNTUSDT
2025-10-05 19:30:20,Commission,-0.00314244 USDT,AVNTUSDT
2025-10-05 18:45:26,Commission,-0.02224458 USDT,HYPEUSDT
2025-10-05 18:45:25,Commission,-0.02224458 USDT,HYPEUSDT
2025-10-05 18:37:58,Realized PNL,0.20520000 USDT,SOLUSDT
2025-10-05 18:37:58,Commission,-0.00208134 USDT,SOLUSDT
2025-10-05 18:27:07,Realized PNL,4.52246199 USDT,PUMPUSDT
2025-10-05 18:27:07,Commission,-0.04622988 USDT,PUMPUSDT
2025-10-05 18:26:37,Commission,-0.04133499 USDT,BNBUSDT
2025-10-05 18:26:36,Commission,-0.04133499 USDT,BNBUSDT
2025-10-05 18:22:14,Commission,-0.01237005 USDT,BNBUSDT
2025-10-05 18:22:12,Commission,-0.01237215 USDT,BNBUSDT
2025-10-05 17:47:57,Commission,-0.00721287 USDT,SOLUSDT
2025-10-05 17:47:57,Commission,-0.01228469 USDT,HYPEUSDT
2025-10-05 17:20:09,Commission,-0.00680960 USDT,HYPEUSDT
2025-10-05 17:19:56,Commission,-0.00410654 USDT,BNBUSDT
2025-10-05 17:19:45,Realized PNL,7.65700000 USDT,BNBUSDT
2025-10-05 17:19:45,Commission,-0.07859099 USDT,BNBUSDT
2025-10-05 17:19:45,Realized PNL,9.21622999 USDT,DOGEUSDT
2025-10-05 17:19:45,Commission,-0.09362518 USDT,DOGEUSDT
2025-10-05 17:17:21,Realized PNL,2.23670000 USDT,ENAUSDT
2025-10-05 17:17:21,Commission,-0.02259456 USDT,ENAUSDT
2025-10-05 17:17:20,Realized PNL,0.81553188 USDT,XRPUSDT
2025-10-05 17:17:20,Commission,-0.00827038 USDT,XRPUSDT
2025-10-05 17:17:20,Realized PNL,0.07654811 USDT,XRPUSDT
2025-10-05 17:17:20,Commission,-0.00077628 USDT,XRPUSDT
2025-10-05 17:10:58,Commission,-0.03832069 USDT,ENAUSDT
2025-10-05 17:10:16,Commission,-0.01296960 USDT,ENAUSDT
2025-10-05 17:10:16,Commission,-0.00830865 USDT,ENAUSDT
2025-10-05 17:00:00,Funding fee,0.00256208 USDT,HYPEUSDT
2025-10-05 17:00:00,Funding fee,0.03211241 USDT,PUMPUSDT
2025-10-05 17:00:00,Funding fee,-0.00525701 USDT,ENAUSDT
2025-10-05 17:00:00,Funding fee,-0.00098285 USDT,FARTCOINUSDT
2025-10-05 17:00:00,Funding fee,-0.05196848 USDT,SUIUSDT
2025-10-05 17:00:00,Funding fee,-0.12819382 USDT,BNBUSDT
2025-10-05 17:00:00,Funding fee,-0.00899361 USDT,XRPUSDT
2025-10-05 17:00:00,Funding fee,-0.05549760 USDT,DOGEUSDT
2025-10-05 17:00:00,Funding fee,-0.03520558 USDT,ETHUSDT
2025-10-05 16:59:34,Commission,-0.00371240 USDT,HYPEUSDT
2025-10-05 15:55:20,Realized PNL,14.00740690 USDT,HYPEUSDT
2025-10-05 15:55:20,Commission,-0.14164016 USDT,HYPEUSDT
2025-10-05 15:55:20,Realized PNL,0.36271309 USDT,HYPEUSDT
2025-10-05 15:55:20,Commission,-0.00366768 USDT,HYPEUSDT
2025-10-05 15:02:27,Realized PNL,0.31680000 USDT,SOLUSDT
2025-10-05 15:02:27,Commission,-0.00320922 USDT,SOLUSDT
2025-10-05 15:01:17,Realized PNL,1.41170000 USDT,WLFIUSDT
2025-10-05 15:01:17,Commission,-0.01443108 USDT,WLFIUSDT
2025-10-05 13:00:22,Commission,-0.01697892 USDT,WLFIUSDT
2025-10-05 13:00:22,Commission,-0.00303688 USDT,WLFIUSDT
2025-10-05 13:00:22,Commission,-0.00455532 USDT,WLFIUSDT
2025-10-05 13:00:00,Funding fee,-1.01322004 USDT,HYPEUSDT
2025-10-05 13:00:00,Funding fee,-0.01743553 USDT,WLFIUSDT
2025-10-05 13:00:00,Funding fee,0.06441742 USDT,PUMPUSDT
2025-10-05 13:00:00,Funding fee,-0.00149920 USDT,FARTCOINUSDT
2025-10-05 12:58:45,Commission,-0.01681891 USDT,XRPUSDT
2025-10-05 12:51:20,Commission,-0.07869428 USDT,SUIUSDT
2025-10-05 12:51:20,Commission,-0.00619447 USDT,SUIUSDT
2025-10-05 12:45:37,Commission,-0.14782882 USDT,DOGEUSDT
2025-10-05 12:39:06,Commission,-0.07155200 USDT,PUMPUSDT
2025-10-05 12:24:06,Realized PNL,0.38559999 USDT,AVNTUSDT
2025-10-05 12:24:06,Commission,-0.00390075 USDT,AVNTUSDT
2025-10-05 12:13:28,Commission,-0.00714924 USDT,SOLUSDT
2025-10-05 12:13:28,Commission,-0.01363831 USDT,WLFIUSDT
2025-10-05 12:12:12,Commission,-0.03204572 USDT,HYPEUSDT
2025-10-05 12:12:12,Commission,-0.20207068 USDT,HYPEUSDT
2025-10-05 12:11:23,Commission,-0.00756514 USDT,WLFIUSDT
2025-10-05 12:11:12,Commission,-0.04726421 USDT,SUIUSDT
2025-10-05 12:11:12,Commission,-0.00537827 USDT,DOGEUSDT
2025-10-05 12:11:12,Commission,-0.00705320 USDT,DOGEUSDT
2025-10-05 12:11:12,Commission,-0.03491334 USDT,DOGEUSDT
2025-10-05 12:11:12,Commission,-0.03499455 USDT,DOGEUSDT
2025-10-05 12:11:09,Commission,-0.00887834 USDT,AVNTUSDT
2025-10-05 12:11:07,Commission,-0.00158886 USDT,SOLUSDT
2025-10-05 12:11:07,Commission,-0.00238329 USDT,SOLUSDT
2025-10-05 12:10:35,Commission,-0.01203181 USDT,ENAUSDT
2025-10-05 12:10:32,Commission,-0.00424011 USDT,WLFIUSDT
2025-10-05 12:09:30,Commission,-0.12920319 USDT,BNBUSDT
2025-10-05 12:09:11,Commission,-0.00463932 USDT,AVNTUSDT
2025-10-05 12:05:20,Commission,-0.00934101 USDT,XRPUSDT
2025-10-05 12:04:35,Commission,-0.00519120 USDT,XRPUSDT
2025-10-05 11:55:22,Commission,-0.13100412 USDT,HYPEUSDT
2025-10-05 11:54:37,Commission,-0.07330228 USDT,HYPEUSDT
2025-10-05 11:52:19,Commission,-0.02784014 USDT,PUMPUSDT
2025-10-05 11:52:19,Commission,-0.01240150 USDT,PUMPUSDT
2025-10-05 11:51:13,Commission,-0.02258782 USDT,PUMPUSDT
2025-10-05 11:47:15,Realized PNL,0.17600000 USDT,AVNTUSDT
2025-10-05 11:47:15,Commission,-0.00179216 USDT,AVNTUSDT
2025-10-05 11:29:59,Commission,-0.00621096 USDT,AVNTUSDT
2025-10-05 11:09:38,Commission,-0.01265966 USDT,PUMPUSDT
2025-10-05 11:01:00,Commission,-0.02280090 USDT,HYPEUSDT
2025-10-05 11:01:00,Commission,-0.00187175 USDT,HYPEUSDT
2025-10-05 11:01:00,Commission,-0.01463371 USDT,HYPEUSDT
2025-10-05 11:01:00,Commission,-0.00629590 USDT,HYPEUSDT
2025-10-05 10:56:15,Commission,-0.00610898 USDT,HYPEUSDT
2025-10-05 10:56:15,Commission,-0.00644837 USDT,HYPEUSDT
2025-10-05 10:54:18,Commission,-0.00706017 USDT,PUMPUSDT
2025-10-05 10:54:10,Commission,-0.00709283 USDT,FARTCOINUSDT
2025-10-05 10:54:05,Commission,-0.00696549 USDT,HYPEUSDT
2025-10-05 10:53:25,Commission,-0.00393311 USDT,PUMPUSDT
2025-10-05 10:53:09,Realized PNL,0.00982780 USDT,HYPEUSDT
2025-10-05 10:53:09,Commission,-0.00009719 USDT,HYPEUSDT
2025-10-05 10:51:23,Commission,-0.00218728 USDT,PUMPUSDT
2025-10-05 10:51:11,Realized PNL,2.45695219 USDT,HYPEUSDT
2025-10-05 10:51:11,Commission,-0.02429850 USDT,HYPEUSDT
2025-10-05 10:48:24,Commission,-0.00666736 USDT,ENAUSDT
2025-10-05 10:17:05,Commission,-0.04249276 USDT,HYPEUSDT
2025-10-05 10:03:46,Realized PNL,0.00137013 USDT,FARTCOINUSDT
2025-10-05 10:03:46,Commission,-0.00001423 USDT,FARTCOINUSDT
2025-10-05 10:03:29,Realized PNL,0.95566986 USDT,FARTCOINUSDT
2025-10-05 10:03:29,Commission,-0.00992961 USDT,FARTCOINUSDT
2025-10-05 10:01:18,Realized PNL,4.06180000 USDT,ENAUSDT
2025-10-05 10:01:18,Commission,-0.04120171 USDT,ENAUSDT
2025-10-05 09:50:56,Commission,-0.04705568 USDT,ENAUSDT
2025-10-05 09:50:55,Commission,-0.04705568 USDT,ENAUSDT
2025-10-05 09:46:32,Commission,-0.04107558 USDT,ETHUSDT
2025-10-05 09:46:32,Commission,-0.04109286 USDT,ETHUSDT
2025-10-05 09:15:01,Commission,-0.01350871 USDT,FARTCOINUSDT
2025-10-05 09:15:01,Commission,-0.01350871 USDT,FARTCOINUSDT
2025-10-05 09:00:00,Funding fee,0.01247825 USDT,HYPEUSDT
2025-10-05 09:00:00,Funding fee,-0.01393916 USDT,ENAUSDT
2025-10-05 09:00:00,Funding fee,-0.00948547 USDT,FARTCOINUSDT
2025-10-05 09:00:00,Funding fee,-0.01412006 USDT,SUIUSDT
2025-10-05 09:00:00,Funding fee,-0.02705959 USDT,DOGEUSDT
2025-10-05 09:00:00,Funding fee,-0.01178198 USDT,ETHUSDT
2025-10-05 08:38:10,Commission,-0.02220484 USDT,ETHUSDT
2025-10-05 08:33:21,Commission,-0.02349214 USDT,HYPEUSDT
2025-10-05 08:30:58,Commission,-0.01304304 USDT,HYPEUSDT
2025-10-05 08:18:29,Commission,-0.00722034 USDT,HYPEUSDT
2025-10-05 07:45:46,Commission,-0.04624445 USDT,DOGEUSDT
2025-10-05 07:45:46,Realized PNL,2.45734999 USDT,HYPEUSDT
2025-10-05 07:45:46,Commission,-0.02431285 USDT,HYPEUSDT
2025-10-05 07:43:38,Commission,-0.02569795 USDT,DOGEUSDT
2025-10-05 07:34:14,Commission,-0.02610510 USDT,ENAUSDT
2025-10-05 07:18:46,Commission,-0.00745107 USDT,FARTCOINUSDT
2025-10-05 06:51:18,Commission,-0.04239565 USDT,HYPEUSDT
2025-10-05 06:23:21,Commission,-0.01431360 USDT,DOGEUSDT
2025-10-05 06:07:59,Commission,-0.02343919 USDT,HYPEUSDT
2025-10-05 06:01:52,Commission,-0.01288297 USDT,HYPEUSDT
2025-10-05 06:01:11,Realized PNL,0.80479128 USDT,AVNTUSDT
2025-10-05 06:01:11,Commission,-0.00817128 USDT,AVNTUSDT
2025-10-05 06:01:11,Realized PNL,1.81078038 USDT,AVNTUSDT
2025-10-05 06:01:11,Commission,-0.01838538 USDT,AVNTUSDT
2025-10-05 06:01:10,Realized PNL,1.48662833 USDT,AVNTUSDT
2025-10-05 06:01:10,Commission,-0.01509417 USDT,AVNTUSDT
2025-10-05 05:58:33,Commission,-0.01268204 USDT,ETHUSDT
2025-10-05 05:43:03,Commission,-0.01449483 USDT,ENAUSDT
2025-10-05 05:39:26,Commission,-0.00634410 USDT,ETHUSDT
2025-10-05 05:30:44,Commission,-0.00723725 USDT,HYPEUSDT
2025-10-05 05:00:00,Funding fee,-0.21567518 USDT,AVNTUSDT
2025-10-05 04:20:23,Commission,-0.07071127 USDT,AVNTUSDT
2025-10-05 04:19:03,Commission,-0.02653873 USDT,SUIUSDT
2025-10-05 04:12:57,Commission,-0.03946949 USDT,AVNTUSDT
2025-10-05 04:08:37,Commission,-0.00803825 USDT,DOGEUSDT
2025-10-05 04:08:08,Realized PNL,0.05616000 USDT,FARTCOINUSDT
2025-10-05 04:08:08,Commission,-0.00055489 USDT,FARTCOINUSDT
2025-10-05 04:06:44,Commission,-0.01473708 USDT,SUIUSDT
2025-10-05 03:55:49,Commission,-0.00807310 USDT,ENAUSDT
